StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Sports_Filter,Consent_1,Consent_2,Consent_3,MTurk_ID,Age,Female,Female_2_TEXT,Race,Education ,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Presurvey Ranking_1,Presurvey Ranking_2,Presurvey Ranking_3,Presurvey Ranking_4,Presurvey Ranking_5,Presurvey Ranking_6,Presurvey Ranking_7,Presurvey Ranking_8,Presurvey Ranking_9,Presurvey Ranking_10,Presurvey Ranking_11,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Goals_Ranked,BDM_1,BDM_2,BDM_3,BDM_4,BDM_5,BDM_6,BDM_7,BDM_8,BDM_9,BDM_10,BDM_11,BDM_12,BDM_13,BDM_14,BDM_15,Q14_First Click,Q14_Last Click,Q14_Page Submit,Q14_Click Count,Teams,mTurkCode
10/25/2021 16:30,10/25/2021 16:35,Survey Preview,,100,304,TRUE,10/25/2021 16:35,R_2f80R53stsympWM,,,,,40.43240356,-79.92469788,preview,EN,,,,,,,,,,,,,,,5,1,10,11,2,7,3,6,8,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2021 9:46,10/27/2021 9:46,Survey Preview,,100,8,TRUE,10/27/2021 9:46,R_3R7yS4Hlb2RiFMD,,,,,40.44419861,-79.95570374,preview,EN,,,,,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2021 14:28,10/29/2021 14:28,Survey Preview,,100,2,TRUE,10/29/2021 14:28,R_3lVLjfKoOIBttvD,,,,,40.43240356,-79.92469788,preview,EN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2021 20:23,10/31/2021 20:23,Survey Preview,,100,3,TRUE,10/31/2021 20:23,R_OPuO3jVvkUNY4nv,,,,,40.43240356,-79.92469788,preview,EN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2021 20:23,10/31/2021 20:33,Survey Preview,,100,582,TRUE,10/31/2021 20:33,R_RCaN9QlLenlqF0J,,,,,40.43240356,-79.92469788,preview,EN,10-May,Yes,Yes,Yes,test,28,Female,,Other,Graduate Degree,3.25,3.25,24.38,1,7,1,11,3,10,5,6,9,8,2,4,5.237,5.237,326.138,1,10,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,,,,,34925
11/1/2021 8:20,11/1/2021 8:27,IP Address,128.2.149.108,100,416,TRUE,11/1/2021 8:27,R_3LhZ4RQJ9kC8JwB,,,,,40.4394989,-79.94300079,anonymous,EN,10-May,Yes,Yes,Yes,test,99,Other,test,Asian,Graduate Degree,0,0,24.976,0,7,3,5,11,2,8,10,9,1,4,6,0,0,303.038,0,10,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,380641
11/1/2021 8:31,11/1/2021 8:31,IP Address,174.82.188.214,100,3,TRUE,11/1/2021 8:31,R_24CbT6ytBZunV13,,,,,45.63600159,-94.21700287,anonymous,EN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2021 8:34,11/1/2021 8:34,IP Address,98.214.171.119,100,4,TRUE,11/1/2021 8:34,R_1hGPJfQCAm3h4CM,,,,,40.76870728,-89.60240173,anonymous,EN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2021 8:36,11/1/2021 8:36,IP Address,73.123.179.39,100,8,TRUE,11/1/2021 8:36,R_1Q0dA6jeH4TLB1g,,,,,42.46090698,-71.00740051,anonymous,EN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2021 8:36,11/1/2021 8:36,IP Address,73.173.103.253,100,12,TRUE,11/1/2021 8:36,R_SWeAyHZtSKiNNEB,,,,,39.21240234,-76.87760162,anonymous,EN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2021 8:38,11/1/2021 8:38,IP Address,69.130.133.233,100,3,TRUE,11/1/2021 8:38,R_2aPSnqRuO6LucK6,,,,,35.59719849,-87.85320282,anonymous,EN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2021 8:32,11/1/2021 8:39,IP Address,98.25.33.171,100,434,TRUE,11/1/2021 8:39,R_2DY91Z6MCHEy7oG,,,,,34.02589417,-80.95469666,anonymous,EN,More than 10,Yes,Yes,Yes,A18QKM5Z69TLS,34,Female,,White,Bachelor's Degree,1.796,35.337,36.358,9,3,4,9,7,1,6,8,10,5,2,11,1.769,1.769,336.159,1,10,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,942487
11/1/2021 8:35,11/1/2021 8:43,IP Address,68.201.88.156,100,483,TRUE,11/1/2021 8:43,R_1Kr5lRfV3tzi2HK,,,,,26.29460144,-98.30490112,anonymous,EN,10-May,Yes,Yes,Yes,A1RX46B0LN4NJ1,28,Male,,Black or African American,Graduate Degree,0,0,55.176,0,6,5,3,7,8,10,4,1,11,9,2,0,0,307.573,0,5,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,,,,,,951990
11/1/2021 8:32,11/1/2021 8:44,IP Address,212.162.148.91,100,732,TRUE,11/1/2021 8:44,R_2wiBdzFUG2CmMd2,,,,,41.87770081,-87.63760376,anonymous,EN,10-May,Yes,Yes,Yes,A35S5YV2XL971J,29,Male,,White,Bachelor's Degree,2.954,2.954,11.389,1,5,2,6,4,3,10,11,7,8,1,9,0,0,316.859,0,10,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,0,0,306.686,0,"Seattle Kraken,Chicago Blackhawks",426995
11/1/2021 8:32,11/1/2021 8:44,IP Address,174.249.31.217,100,741,TRUE,11/1/2021 8:44,R_b3AC3yFn4o6n6G5,,,,,43.17019653,-77.69229889,anonymous,EN,5-Jan,Yes,Yes,Yes,A10T0161B70BXP,25,Male,,White,High School Degree,4.363,56.954,57.654,11,1,3,10,7,5,6,11,8,9,2,4,86.188,301.553,302.193,41,10,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.422,300.547,301.347,28,"Seattle Kraken,Montreal Canadiens",76326
11/1/2021 8:31,11/1/2021 8:44,IP Address,50.29.233.30,100,794,TRUE,11/1/2021 8:44,R_10Gg8lzbUHuZxJZ,,,,,41.19880676,-75.90529633,anonymous,EN,5-Jan,Yes,Yes,Yes,A3V8LIMUUJWUTL,39,Male,,White,High School Degree,0,0,36.097,0,7,9,8,5,6,1,10,4,11,3,2,0,0,306.156,0,10,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,317.402,317.402,317.774,1,"Seattle Kraken,Montreal Canadiens",933757
11/1/2021 8:38,11/1/2021 8:45,IP Address,67.184.191.20,100,416,TRUE,11/1/2021 8:45,R_RXmVpVxx28UsEdb,,,,,42.38160706,-88.00260162,anonymous,EN,5-Jan,Yes,Yes,Yes,AP4A0MZOKR52J,53,Male,,White,Bachelor's Degree,0,0,33.235,0,1,4,10,7,8,11,5,9,6,2,3,0,0,309.884,0,10,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,25274
11/1/2021 8:32,11/1/2021 8:45,IP Address,108.175.178.141,100,818,TRUE,11/1/2021 8:45,R_2TsG7BGvQmJGaT5,,,,,34.67359924,-79.10710144,anonymous,EN,5-Jan,Yes,Yes,Yes,A1GKD3NG1NNHRP,61,Female,,White,Associate's Degree,0,0,62.332,0,8,6,3,7,9,5,10,11,1,2,4,0,0,433.648,0,100,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,134553
11/1/2021 8:33,11/1/2021 8:46,IP Address,47.200.110.243,100,812,TRUE,11/1/2021 8:46,R_3hFPaUsj6Sna2mR,,,,,27.89300537,-82.50740051,anonymous,EN,10-May,Yes,Yes,Yes,A2QTL039A5VV3I,31,Male,,White,Bachelor's Degree,0,0,30.113,0,2,1,7,8,5,6,9,10,4,3,11,0,0,323.567,0,10,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,363.798,0,"Seattle Kraken,Montreal Canadiens",536398
11/1/2021 8:35,11/1/2021 8:48,IP Address,24.112.168.116,100,763,TRUE,11/1/2021 8:48,R_3L7iEjdqmQz8bKc,,,,,41.09959412,-80.75229645,anonymous,EN,5-Jan,Yes,Yes,Yes,AMELYCC59JKB0,39,Female,,White,Bachelor's Degree,5.671,5.671,36.124,1,5,2,6,10,3,1,7,11,9,4,8,0,0,303.939,0,10,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,301.362,0,"Seattle Kraken,Montreal Canadiens",618394
11/1/2021 8:52,11/1/2021 8:52,IP Address,76.210.16.176,100,8,TRUE,11/1/2021 8:52,R_2wizMQWbNAdPf77,,,,,33.68710327,-84.15100098,anonymous,EN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2021 8:36,11/1/2021 8:53,IP Address,70.120.139.160,100,1032,TRUE,11/1/2021 8:53,R_22kRL0m747oTP1I,,,,,32.92599487,-96.96659851,anonymous,EN,More than 10,Yes,Yes,Yes,A3LGUYS3JU2C1T,31,Male,,Hispanic,Bachelor's Degree,0,0,104.821,0,4,3,8,6,2,1,7,11,10,5,9,17.623,17.623,374.552,1,10,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,363.01,0,"Seattle Kraken,Montreal Canadiens",866606
11/1/2021 8:41,11/1/2021 8:57,IP Address,170.39.187.32,100,943,TRUE,11/1/2021 8:57,R_BQVaXo567dZCOZz,,,,,39.01800537,-77.53900146,anonymous,EN,More than 10,Yes,Yes,Yes,A1HRH92NH49RX2,32,Male,,White,Bachelor's Degree,0,0,19.245,0,4,8,11,5,6,3,1,10,7,2,9,0,0,365.974,0,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,0,0,307.856,0,Montreal Canadiens,301184
11/1/2021 8:49,11/1/2021 9:05,IP Address,137.148.113.99,100,939,TRUE,11/1/2021 9:05,R_3NCjjCsSXTBtoGt,,,,,41.60180664,-81.52570343,anonymous,EN,More than 10,Yes,Yes,Yes,A1AMGHYG5PT0L2,43,Female,,White,Graduate Degree,0,0,31.979,0,7,1,5,10,6,3,8,9,11,2,4,84.967,84.967,312.54,1,10,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,390.335,0,"Seattle Kraken,Montreal Canadiens",815499
11/1/2021 8:52,11/1/2021 9:05,IP Address,75.88.105.130,100,818,TRUE,11/1/2021 9:05,R_2c1oBRX1v2NMk5S,,,,,35.01669312,-80.37609863,anonymous,EN,5-Jan,Yes,Yes,Yes,A1F9KLZGHE9DTA,46,Male,,White,High School Degree,0,0,42.799,0,3,1,9,8,6,7,4,10,2,5,11,0,0,375.39,0,10,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,301.905,0,"Seattle Kraken,Montreal Canadiens",364398
11/1/2021 9:07,11/1/2021 9:07,IP Address,67.0.243.59,100,7,TRUE,11/1/2021 9:07,R_ZmHMMk7McpRcWMp,,,,,35.07119751,-106.5767975,anonymous,EN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2021 8:50,11/1/2021 9:11,IP Address,74.72.156.172,100,1290,TRUE,11/1/2021 9:11,R_DnIsVa3USFvhwOd,,,,,40.72790527,-73.99659729,anonymous,EN,10-May,Yes,Yes,Yes,A281NYJUA83Y3Y,27,Male,,White,Bachelor's Degree,0,0,277.098,0,9,8,1,4,3,2,7,6,10,11,5,0,0,354.755,0,10,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,345.826,0,"Seattle Kraken,Montreal Canadiens",592172
11/1/2021 9:12,11/1/2021 9:12,IP Address,97.81.175.24,100,6,TRUE,11/1/2021 9:12,R_O1ZVyvoN6fTZDln,,,,,36.21780396,-85.54229736,anonymous,EN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2021 9:05,11/1/2021 9:17,IP Address,128.172.238.180,100,746,TRUE,11/1/2021 9:17,R_2VyfedQQ4nWMmwc,,,,,38.45550537,-77.43260193,anonymous,EN,5-Jan,Yes,Yes,Yes,A6E3QAJIQOFBQ,21,Male,,Black or African American,Bachelor's Degree,0,0,30.604,0,1,8,10,9,6,4,5,7,11,2,3,0,0,308.369,0,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,303.155,0,"Seattle Kraken,Montreal Canadiens",116270
11/1/2021 9:08,11/1/2021 9:21,IP Address,194.49.69.196,100,808,TRUE,11/1/2021 9:21,R_32SbrLArqCUBrit,,,,,40.78759766,-74.05999756,anonymous,EN,5-Jan,Yes,Yes,Yes,A1SMVF4MXT0RIH,26,Male,,White,Bachelor's Degree,0,0,11.621,0,4,8,5,7,10,6,1,2,3,9,11,0,0,304.885,0,10,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,0,0,311.955,0,"Seattle Kraken,Chicago Blackhawks",319716
11/1/2021 9:09,11/1/2021 9:24,IP Address,74.89.203.50,100,891,TRUE,11/1/2021 9:24,R_26lsGhXlm7jYdKN,,,,,41.04179382,-72.47669983,anonymous,EN,5-Jan,Yes,Yes,Yes,A3QNCW3LR2AVOV,52,Male,,White,Associate's Degree,1.057,39.673,40.483,3,2,3,8,7,1,4,9,11,10,5,6,1.568,301.045,301.981,8,10,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.932,297.897,300.967,5,"Seattle Kraken,Montreal Canadiens",286419
11/1/2021 9:27,11/1/2021 9:27,IP Address,76.25.67.198,100,4,TRUE,11/1/2021 9:27,R_3kBw0Jgo2LtkOKR,,,,,39.84199524,-105.1100998,anonymous,EN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2021 9:14,11/1/2021 9:28,IP Address,75.97.235.116,100,817,TRUE,11/1/2021 9:28,R_42bWQGtNFuyBrxf,,,,,40.83250427,-75.70140076,anonymous,EN,5-Jan,Yes,Yes,Yes,A2NA6X1SON3KFH,35,Male,,White,High School Degree,0,0,60.734,0,2,3,10,7,4,6,5,8,11,1,9,230.524,230.524,349.453,1,10,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,96.551,174.608,310.251,2,"Seattle Kraken,Montreal Canadiens",785242
11/1/2021 9:20,11/1/2021 9:30,IP Address,174.44.64.129,100,548,TRUE,11/1/2021 9:30,R_2En1qE1J7MAAQHK,,,,,40.59779358,-74.00009918,anonymous,EN,5-Jan,Yes,Yes,Yes,A2RWLFIP23FZA7,28,Male,,Asian,Bachelor's Degree,4.595,4.595,55.46,1,1,2,8,6,4,7,5,9,11,3,10,0,0,390.094,0,10,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,192425
11/1/2021 9:16,11/1/2021 9:30,IP Address,73.130.183.198,100,845,TRUE,11/1/2021 9:30,R_2U0lujaKrkDDiLp,,,,,40.55999756,-76.32369995,anonymous,EN,More than 10,Yes,Yes,Yes,A2YB18JHC2C7GF,70,Female,,White,High School Degree,0,0,49.705,0,1,2,7,4,9,10,5,3,11,6,8,0,0,345.359,0,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,315.124,0,"Seattle Kraken,Chicago Blackhawks",434897
11/1/2021 9:19,11/1/2021 9:32,IP Address,76.115.45.184,100,783,TRUE,11/1/2021 9:32,R_1Ntwwjb6uVYGaZi,,,,,44.65539551,-123.1349945,anonymous,EN,10-May,Yes,Yes,Yes,A320QA9HJFUOZO,34,Male,,White,Bachelor's Degree,53.934,53.934,54.514,1,1,2,6,10,8,4,7,5,9,3,11,322.074,322.943,323.259,2,10,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.156,309.042,309.265,2,"Seattle Kraken,Montreal Canadiens",164765
11/1/2021 9:40,11/1/2021 9:40,IP Address,173.170.89.157,100,8,TRUE,11/1/2021 9:40,R_2S6KuvJ97wopatl,,,,,27.54299927,-82.56020355,anonymous,EN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2021 9:53,11/1/2021 9:53,IP Address,68.13.241.158,100,4,TRUE,11/1/2021 9:53,R_1H2iPDyuPwQbU4L,,,,,36.06059265,-95.94560242,anonymous,EN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2021 10:00,11/1/2021 10:09,IP Address,208.102.105.169,100,517,TRUE,11/1/2021 10:09,R_3Jxw64sjRoZSc3m,,,,,39.12460327,-84.48670197,anonymous,EN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2021 9:59,11/1/2021 10:15,IP Address,184.83.117.235,100,984,TRUE,11/1/2021 10:15,R_2tb4GYno0F9jQEB,,,,,43.47659302,-96.7052002,anonymous,EN,10-May,Yes,Yes,Yes,ADP4KXZZ72DP,51,Male,,White,High School Degree,0,0,116.954,0,2,7,3,5,4,10,8,9,11,6,1,0,0,375.148,0,10,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,302.478,0,Seattle Kraken,260789
11/1/2021 10:25,11/1/2021 10:25,IP Address,98.10.58.230,100,9,TRUE,11/1/2021 10:25,R_3oLaSX30z7PouET,,,,,43.14419556,-77.5503006,anonymous,EN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2021 10:19,11/1/2021 10:27,IP Address,71.227.90.0,100,441,TRUE,11/1/2021 10:27,R_1hFlkgxFGs7Oqq6,,,,,42.42630005,-82.90139771,anonymous,EN,More than 10,Yes,Yes,Yes,AFK9ALQK5GPNG,36,Male,,White,Bachelor's Degree,26.854,37.663,50.804,3,1,2,7,3,11,8,5,4,10,9,6,1.239,306.145,306.614,5,100,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,50613
11/1/2021 10:31,11/1/2021 10:43,IP Address,73.140.38.58,100,677,TRUE,11/1/2021 10:43,R_1mW6AoSTtg3PytQ,,,,,47.62980652,-117.3988953,anonymous,EN,5-Jan,Yes,Yes,Yes,A36A780ODXBDEH,30,Male,,Other,Associate's Degree,3.563,3.563,133.43,1,1,3,9,8,7,5,6,11,4,10,2,0,0,322.573,0,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,,,,,,465891
11/1/2021 10:34,11/1/2021 10:43,IP Address,67.240.54.169,100,560,TRUE,11/1/2021 10:43,R_2uD1pATyA6Z4evC,,,,,42.72729492,-73.66960144,anonymous,EN,5-Jan,Yes,Yes,Yes,AS4NIEQJWCG3M,33,Female,,White,Bachelor's Degree,0,0,35.454,0,10,6,2,8,5,9,4,3,1,11,7,0,0,359.084,0,10,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,235721
